id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd
1202,Black Narcissus,Drama,en,7.5,1,40,1947-05-26,473,Emeric Pressburger,"Deborah Kerr, David Farrar, Flora Robson, Kathleen Byron, Sabu",424000.0,
1208,The Valet,"Comedy, Romance",en,7.5,2,4,2022-05-11,550,Richard Wong,"Eugenio Derbez, Samara Weaving, Max Greenfield, Betsy Brandt, Marisol Nichols",,
1210,My Father and My Son,Drama,tr,7.5,1,52,2005-11-18,318,Çağan Irmak,"Fikret Kuşkan, Ege Tanman, Çetin Tekindor, Hümeyra, Şerif Sezer",,4187299.0
1215,Still Life,Drama,en,7.5,1,32,2013-11-28,358,Uberto Pasolini,"Eddie Marsan, Joanne Froggatt, Karen Drury, Andrew Buchan, Neil D'Souza",,
1226,My Sassy Girl,"Drama, Comedy, Romance",ko,7.5,2,3,2001-07-27,556,Kwak Jae-yong,"Jun Ji-hyun, Cha Tae-hyun, Kim In-mun, Song Ok-suk, Han Jin-hee",,32000000.0
1228,Dragon Ball Z: Fusion Reborn,"Animation, Action, Fantasy, Science Fiction",ja,7.5,0,55,1995-03-04,832,Shigeyasu Yamauchi,"Masako Nozawa, Ryo Horikawa, Takeshi Kusao, Daisuke Gori, Hiromi Tsuru",,23500000.0
1230,Rurouni Kenshin,"Adventure, Action, Fantasy, War, History",ja,7.5,2,14,2012-08-25,801,Keishi Otomo,"Takeru Satoh, Emi Takei, Koji Kikkawa, Yu Aoi, Munetaka Aoki",,61700000.0
1240,Au Revoir les Enfants,"Drama, War",fr,7.5,1,45,1987-10-07,647,Louis Malle,"Gaspard Manesse, Raphael Fejtö, Francine Racette, Stanislas Carré de Malberg, Philippe Morier-Genoud",,
1241,Au Revoir les Enfants,"Drama, War",fr,7.5,1,45,1987-10-07,647,Louis Malle,"Gaspard Manesse, Raphael Fejtö, Francine Racette, Stanislas Carré de Malberg, Philippe Morier-Genoud",,
1243,Lou,"Family, Fantasy, Animation, Comedy",en,7.5,0,6,2017-06-16,385,Dave Mullins,,,
1245,BURN·E,"Animation, Family, Comedy, Science Fiction",en,7.5,0,8,2008-11-17,725,Angus MacLane,"Angus MacLane, Tessa Swigart, Ben Burtt, Jeff Garlin, Elissa Knight",,
1250,Barbie: Princess Charm School,"Family, Animation, Fantasy",en,7.5,1,19,2011-08-11,802,Ezekiel Norton,"Diana Kaarina, Morwenna Banks, Nicole Oliver, Brittney Wilson, Ali Liebert",,
1251,Shadow of a Doubt,Thriller,en,7.5,1,48,1943-01-15,1015,Alfred Hitchcock,"Teresa Wright, Joseph Cotten, Macdonald Carey, Henry Travers, Patricia Collinge",,
1252,Somewhere in Time,"Drama, Fantasy, Romance",en,7.5,1,43,1980-10-02,566,Jeannot Szwarc,"Christopher Reeve, Jane Seymour, Christopher Plummer, Teresa Wright, Bill Erwin",5100000.0,
1254,Rescued by Ruby,"Family, Drama",en,7.5,1,33,2022-03-17,307,Katt Shea,"Grant Gustin, Scott Wolf, Kaylah Zander, Camille Sullivan, Tom McBeath",,
1263,PAW Patrol: Mighty Pups,"Adventure, Animation, Family, Action",en,7.5,0,44,2018-10-04,572,Charles E. Bastien,"Max Calinescu, Devan Cohen, Drew Davis, Samuel Faraci, Kallan Holley",,
